,Name1*,Name2*,RA2000*,D2000*,Pmag~,Exp~,Note1,Note2,NExp~,GetRef,Temp
0,Rasalhague_HD_159561_Typ_A5,HD 159561,263.7891,12.5383,2.07,3.74,NA,NA,1,0,
1,Rasalgethi_HD_156014_Typ_M5,HD 156014,258.7178,14.3686,5.3,64.60,NA,NA,1,0,
2,Altair_HD_187642_Typ_A7,HD 187642,297.7506,8.8466,0.76,1.18,NA,NA,1,0,
3,Vega_HD_172167_Typ_A0,HD 172167,279.3041,38.7619,0.026,0.62,NA,NA,1,0,
4,Dubhe_HD_95689_Typ_K0,HD 95689,166.0462,61.7292,1.79,2.92,NA,NA,1,0,
5,Scheat_HD_217906_Typ_M2,HD 217906,346.0049,28.0610,2.42,5.09,NA,NA,1,0,
6,Mizar_HD_116656_Typ_A2,HD 116656,201.0756,54.9036,2.04,3.64,NA,NA,1,0,
7,Alcor_HD_116657_Typ_MK,HD 116657,201.4007,54.9662,3.88,18.46,NA,NA,1,0,
8,R_Lyr_HD_175865_Typ_M5,HD 175865,283.9089,43.9243,3.9,18.79,NA,NA,1,0,
9,Alpheratz_HD_358_Typ_B8_A7,HD 358,2.1588,29.0687,2.06,3.70,NA,NA,1,0,
10,Albireo_HD_183912_Typ_K2,HD 183912,292.7416,27.9379,3.21,10.22,NA,NA,1,0,
11,Albireo_HD_183913_Typ_B8,HD 183913,292.7416,27.9379,5.11,54.63,NA,NA,1,0,
12,Denebola_HD_102647_Typ_A3,HD 102647,177.3208,14.5503,2.14,3.98,NA,NA,1,0,
13,Zosma_HD_97603_Typ_A4,HD 97603,168.5849,20.5020,2.56,5.76,NA,NA,1,0,
14,Alioth_HD_112185_Typ_A1,HD 112185,193.6039,55.9380,1.77,2.87,NA,NA,1,0,
15,Minelauva_HD_112300_Typ_M3,HD 112300,193.9551,3.3757,3.32,11.26,NA,NA,1,0,
16,Arcturus_HD_124897_Typ_K1,HD 124897,213.9726,19.1606,-0.05,0.58,NA,NA,1,0,
17,P_Cyg_HD_193237_Typ_B1,HD 193237,304.5154,38.0112,4.82,42.30,NA,NA,1,0,
18,Polaris_HD_8890_Typ_F7,HD 8890,42.0407,89.2404,1.98,3.45,NA,NA,1,0,
19,Zet1_Lyr_HD_173648_Typ_kA5,HD 173648,281.2615,37.5833,4.37,28.44,NA,NA,1,0,
20,Zet2_Lyr_HD_173649_Typ_F0,HD 173649,281.2691,37.5728,5.74,95.25,NA,NA,1,0,
21,Kochab_HD_131873_Typ_K4,HD 131873,222.8743,74.1337,2.08,3.77,NA,NA,1,0,
22,Dschubba_HD_143275_Typ_B0,HD 143275,240.1420,-22.6435,1.59,2.45,NA,NA,1,0,
23,Enif_HD_206778_Typ_K2,HD 206778,326.1014,9.8532,2.37,4.87,NA,NA,1,0,
24,Alphecca_HD_139006_Typ_A0,HD 139006,233.7325,26.6929,2.24,4.34,NA,NA,1,0,
25,Eltanin_HD_164058_Typ_K5,HD 164058,269.2384,51.4671,2.23,4.30,NA,NA,1,0,
26,Thuban_HD_123299_Typ_A0,HD 123299,211.2224,64.3541,3.67,15.33,NA,NA,1,0,
27,h_Uma_HD_81937_Typ_F0,HD 81937,143.0015,63.0401,3.65,15.07,NA,NA,1,0,
28,Theta_Cep_HD_195725_Typ_A7,HD 195725,307.5145,62.9723,4.22,24.91,NA,NA,1,0,
29,VZ_Cam_HD_55966_Typ_M4,HD 55966,113.1773,82.3895,4.92,46.20,NA,NA,1,0,
30,Erakis_HD_206936_Typ_M2,HD 206936,325.9813,58.7582,4.08,22.02,NA,NA,1,0,
31,42_Her_HD_150450_Typ_M2,HD 150450,249.7692,48.9066,4.86,43.82,NA,NA,1,0,
32,V906_Her_HD_150409_Typ_Ma,HD 150409,249.7178,48.8405,6.6,203.42,NA,NA,1,0,
33,3C273_Quasar_3C273_Typ_Qu,Quasar_3C273,187.3321,2.0306,12.9,52772.22,NA,NA,1,0,
34,Neptune_Neptune_Typ_Pl,Neptune,0.1331,-1.3658,7.8,586.41,NA,NA,1,0,
35,Saturn_Saturn_Typ_Pl,Saturn,1.6737,-1.9659,0.99,1.44,NA,NA,1,0,
36,Uranus_Uranus_Typ_Pl,Uranus,52.5611,18.6892,5.75,96.09,NA,NA,1,0,
