star_name,b_v,app_mag,parallax,spec_type
Karen_HD 220061,0.165,4.58,20.17,A5Vp
Karen_HD 161096,1.170,2.76,39.23,K2 III
Karen_HD 185144,0.791,4.67,173.49,K0 V
Karen_HD 202447,0.529,3.92,18.11,G7 III
Karen_HD 216627,0.050,3.27,28.79,A3Vp
Karen_HD 886,-0.230,2.83,6.95,B2 IV
Richard_HD220061      Tau Pegasi,0.165,4.58,20.17,A5v
Richard_HD 154906.       Mu Draconis,0.470,5.63,36.45,f5v
Richard_HD 176437.       Gam Lyrae,-0.040,3.25,5.26,a2v
Richard_HD 194093.        Gam Cygni,0.670,2.23,1.78,f8i
Richard_HD 210418.     Theta Pegasi,0.086,3.52,35.34,a5v
Richard_HD 432              Beta Cas,0.340,2.23,59.58,f02iv
Richard_HD220061      Tau Pegasi,0.165,4.58,20.17,A5v
Richard_HD 154906.       Mu Draconis,0.470,5.63,36.45,f5v
Richard_HD 176437.       Gam Lyrae,-0.040,3.25,5.26,a2v
Richard_HD 194093.        Gam Cygni,0.670,2.23,1.78,f8i
Richard_HD 210418.     Theta Pegasi,0.086,3.52,35.34,a5v
Richard_HD 432              Beta Cas,0.340,2.23,59.58,f02iv
Karen_HD 137391,0.310,4.31,26.57,F0v
Karen_HD 163588,1.180,3.73,29.98,K2iii
Karen_HD 187642,0.220,0.76,194.95,A5v or A7v
Karen_HD 205767,0.181,4.68,18.23,A5v or A7v
Karen_HD 221345,1.029,5.22,13.17,K1iii
Kenny_HD 220061       Tau Pegasi,0.170,4.58,20.17,A5
Kenny_HD137759          iota Draconis,1.200,3.29,32.23,K2iii
Kenny_HD 164058      Gamma Draconis,1.520,2.24,21.14,k4iii
Kenny_HD 188310         Xi Aquilae,1.050,4.71,17.52,k1iv
Kenny_HD 206088. Gam Cap,0.320,3.69,19.10,f2ii or f02iv
Kenny_HD 220657.      Ups Pegasi,0.610,4.42,19.14,f8iv or f8v
Deci_HD197345,0.090,1.25,2.31,B0.5IVe
Deci_HD206778,1.527,2.38,4.73,K2 Ib–II
Deci_HD214376,1.142,5.04,14.71,K1.5 IIIb
Deci_HD222404,1.030,3.21,72.52,K1III-IV
"Deci_HD5394

",-0.15,2.15,5.94,B0.5IVe
