,Stars,HD Catalog,Adj RA,Adj Dec,vMag,Exp,OrigRA_hr,OrigRA_deg,OrigDec_deg
0,Zosma_HD_97603_Typ_A4_V,HD 97603,168.5849,20.5020,2.56,5.76,11.2351,168.5271,20.5237
1,Alioth_HD_112185_Typ_A1III-IVp_kB9,HD 112185,193.6039,55.9380,1.77,2.87,12.9005,193.5073,55.9598
2,Denebola_HD_102647_Typ_A3Va,HD 102647,177.3208,14.5503,2.14,3.98,11.8177,177.2649,14.5721
3,Dubhe_HD_95689_Typ_K0III+A5V,HD 95689,166.0462,61.7292,1.79,2.92,11.0621,165.9320,61.7510
4,Cor_Caroli_HD_112413_Typ_A0pSiEuHg,HD 112413,194.0759,38.2966,2.84,7.37,12.9338,194.0069,38.3184
5,Mizar_HD_116656_Typ_A2Vp,HD 116656,201.0756,54.9036,2.04,3.64,13.3988,200.9814,54.9254
6,Merak_HD_95418_Typ_A1IVps,HD 95418,165.5580,56.3606,2.37,4.87,11.0307,165.4603,56.3824
7,Eta_Leonis_HD_87737_Typ_A0_Ib,HD 87737,151.8897,16.7409,3.486,13.04,10.1222,151.8331,16.7627
8,Phecda_HD_103287_Typ_A0_Ve_+_K2_V,HD 103287,178.5491,53.6730,2.438,5.17,11.8972,178.4577,53.6948
9,Megrez_HD_106591_Typ_A3_V,HD 106591,183.9559,57.0108,3.312,11.18,12.2571,183.8565,57.0326
10,Tania_Australis_HD_89758_Typ_M0_IIIab,HD 89758,155.6544,41.4778,3.06,8.95,10.3721,155.5822,41.4995
11,Minelauva_HD_112300_Typ_M3+_III,HD 112300,193.9551,3.3757,3.32,11.26,12.9267,193.9009,3.3975
12,Seginus_HD_127762_Typ_A7_IV+(n),HD 127762,218.0884,38.2865,3.03,8.72,14.5346,218.0195,38.3082
