,hd,proper,ra,dec,dist,rv,mag,absmag,spect,ci,con,lum,exp,modexp,tgtfn,adjra_hms,adjdec_dms,adjra_deg,adjra_hour,adjdec_deg
58411,104337,,12.014211,-19.658982,970.8738,2.0,5.28,-4.656,B2IV,-0.192,Crv,6344.538,36,63.47428331594824,HD104337_TypB2_Mag5.28,"hms_tuple(h=12.0, m=1.0, s=10.868733945450657)","dms_tuple(d=-19.0, m=-41.0, s=-24.164425964176814)",180.295286,12.019686,-19.690046
58831,105078,,12.099075,-35.693926,232.5581,-18.0,6.23,-0.603,B7V,-0.073,Hya,151.775,75,146.76273820280338,HD105078_TypB7_Mag6.23,"hms_tuple(h=12.0, m=6.0, s=19.527919969114436)","dms_tuple(d=-35.0, m=-43.0, s=-29.89495370706095)",181.581366,12.105424,-35.724971
58921,105262,,12.119674,12.985465,100000.0,41.4,7.1,-12.9,B9,0.016,Vir,12589254.118,146,316.2129549015887,HD105262_TypB9_Mag7.1,"hms_tuple(h=12.0, m=7.0, s=29.86774578754165)","dms_tuple(d=12.0, m=57.0, s=15.734360346845762)",181.874449,12.124963,12.954371
58954,105313,,12.125762,-45.581158,291.5452,0.0,7.31,-0.014,B9V,0.015,Cen,88.227,171,380.5807304870462,HD105313_TypB9_Mag7.31,"hms_tuple(h=12.0, m=7.0, s=59.27133015038734)","dms_tuple(d=-45.0, m=-36.0, s=-43.873364588108075)",181.996964,12.133131,-45.612187
59051,105521,,12.148497,-41.231605,487.8049,0.0,5.51,-2.931,B3IV,-0.097,Cen,1295.388,43,77.75502756283679,HD105521_TypB3_Mag5.51,"hms_tuple(h=12.0, m=9.0, s=19.27573328904714)","dms_tuple(d=-41.0, m=-15.0, s=-45.50965395102651)",182.330316,12.155354,-41.262642
59424,106231,,12.223623,-38.929188,436.6812,-43.0,5.77,-2.431,B4III,-0.144,Cen,817.335,53,97.80351392798568,HD106231_TypB4_Mag5.77,"hms_tuple(h=12.0, m=13.0, s=48.9074359007202)","dms_tuple(d=-38.0, m=-57.0, s=-36.82136277435461)",183.453781,12.230252,-38.960228
59479,106337,,12.235262,-36.556453,500.0,0.0,7.86,-0.635,B7III:,-0.099,Cen,156.315,261,618.2926139519136,HD106337_TypB7_Mag7.86,"hms_tuple(h=12.0, m=14.0, s=30.053956175043197)","dms_tuple(d=-36.0, m=-35.0, s=-14.987816483412075)",183.625225,12.241682,-36.587497
59620,106625,Gienah,12.263437,-17.541929,47.1032,-4.0,2.58,-0.785,B8III,-0.107,Crv,179.473,4,5.861656064564964,HD106625_TypB8_Mag2.58,"hms_tuple(h=12.0, m=16.0, s=7.838299183549111)","dms_tuple(d=-17.0, m=-34.0, s=-22.781355648338888)",184.03266,12.268844,-17.572995
59767,106902,,12.296527,-45.392873,100000.0,0.0,7.95,-12.05,B4II/III,-0.088,Cen,5754399.373,280,669.391162362906,HD106902_TypB4_Mag7.95,"hms_tuple(h=12.0, m=18.0, s=13.936710976075943)","dms_tuple(d=-45.0, m=-25.0, s=-26.048621716472553)",184.55807,12.303871,-45.423902
59781,106955,,12.298756,-24.01341,141.0437,0.0,6.95,1.203,B9V,0.1,Crv,28.761,130,277.01490180011757,HD106955_TypB9_Mag6.95,"hms_tuple(h=12.0, m=18.0, s=15.841490499785209)","dms_tuple(d=-24.0, m=-2.0, s=-40.08864130512421)",184.566006,12.3044,-24.044469
