,hd,proper,ra,dec,dist,rv,mag,absmag,spect,ci,con,lum,exp,modexp,tgtfn,adjra_hms,adjdec_dms,adjra_deg,adjra_hour,adjdec_deg
58401,104324,,12.013192,-12.157554,75.358,0.0,7.96,3.574,G0,0.602,Crv,3.239,282,675.323313533301,HD104324_TypG0_Mag7.96,"hms_tuple(h=12.0, m=1.0, s=6.475878472727601)","dms_tuple(d=-12.0, m=-11.0, s=-19.050268648815347)",180.276983,12.018466,-12.188625
58427,104356,,12.017149,-1.768166,157.9779,36.0,6.32,0.327,G8III:,1.204,Vir,64.447,80,158.89188662502437,HD104356_TypG8_Mag6.32,"hms_tuple(h=12.0, m=1.0, s=20.30227582635945)","dms_tuple(d=-1.0, m=-47.0, s=-57.28813680806411)",180.334593,12.022306,-1.799247
58456,104417,,12.023571,-34.050327,218.3406,0.0,7.11,0.414,G8III,0.928,Hya,59.484,147,319.0152372679894,HD104417_TypG8_Mag7.11,"hms_tuple(h=12.0, m=1.0, s=47.26054046179456)","dms_tuple(d=-34.0, m=-4.0, s=-52.94656534776209)",180.446919,12.029795,-34.081374
58485,104452,,12.028966,22.0943,155.0388,11.1,6.57,0.618,G0II,0.661,Com,49.295,97,198.10522595363804,HD104452_TypG0_Mag6.57,"hms_tuple(h=12.0, m=2.0, s=4.300605905141026)","dms_tuple(d=22.0, m=3.0, s=47.50744007042414)",180.517919,12.034528,22.063197
58493,104471,,12.029477,-34.650317,55.9597,-4.0,6.91,3.171,G0V,0.586,Hya,4.695,126,267.409023780344,HD104471_TypG0_Mag6.91,"hms_tuple(h=12.0, m=2.0, s=8.683254752117904)","dms_tuple(d=-34.0, m=-40.0, s=-52.90767772691254)",180.53618,12.035745,-34.681363
58532,104556,,12.041386,43.084081,57.0776,-12.6,6.64,2.858,G8Vw...,0.86,UMa,6.263,103,210.72609108853683,HD104556_TypG8_Mag6.64,"hms_tuple(h=12.0, m=2.0, s=54.384618641526146)","dms_tuple(d=43.0, m=3.0, s=10.619698173247798)",180.726603,12.04844,43.05295
58605,104698,,12.055873,81.688302,304.878,0.0,7.5,0.079,G5,0.943,Cam,80.984,198,450.03925321819855,HD104698_TypG5_Mag7.5,"hms_tuple(h=12.0, m=5.0, s=29.032795102234132)","dms_tuple(d=81.0, m=39.0, s=24.71006184540329)",181.37097,12.091398,81.656864
58736,104914,,12.080551,-32.80244,219.2982,0.0,7.83,1.125,G8III/IV,0.986,Hya,30.903,255,602.141767772257,HD104914_TypG8_Mag7.83,"hms_tuple(h=12.0, m=5.0, s=12.068370326850442)","dms_tuple(d=-32.0, m=-50.0, s=-0.559242707396379)",181.300285,12.086686,-32.833489
58771,104986,,12.086755,73.454553,174.5201,-54.0,7.5,1.291,G9III,1.113,Dra,26.522,198,450.03925321819855,HD104986_TypG9_Mag7.5,"hms_tuple(h=12.0, m=6.0, s=17.361357739076908)","dms_tuple(d=73.0, m=25.0, s=23.863410347536274)",181.572339,12.104823,73.423295
58772,104979,,12.086817,8.732985,50.0501,-32.2,4.12,0.623,G8III,0.967,Vir,49.068,15,22.809337388005808,HD104979_TypG8_Mag4.12,"hms_tuple(h=12.0, m=5.0, s=31.314018565183233)","dms_tuple(d=8.0, m=42.0, s=6.820817250742834)",181.380475,12.092032,8.701895
58774,104982,,12.087054,-28.717232,35.9066,7.2,7.78,5.004,G5V,0.651,Hya,0.868,245,576.1557641428401,HD104982_TypG5_Mag7.78,"hms_tuple(h=12.0, m=5.0, s=34.559967646588774)","dms_tuple(d=-28.0, m=-44.0, s=-53.82860512320548)",181.394,12.092933,-28.748286
58776,104985,Tonatiuh,12.087451,76.905734,97.0874,-20.0,5.78,0.844,G9III,1.029,Cam,40.031,53,98.67024964581141,HD104985_TypG9_Mag5.78,"hms_tuple(h=12.0, m=6.0, s=36.540777653976306)","dms_tuple(d=76.0, m=52.0, s=27.940498387089292)",181.652253,12.11015,76.874428
58804,105031,,12.092892,51.931185,369.0037,-18.0,7.09,-0.745,G8III compSB,0.632,UMa,172.982,145,313.4352882448582,HD105031_TypG8_Mag7.09,"hms_tuple(h=12.0, m=6.0, s=4.485215427241371)","dms_tuple(d=51.0, m=54.0, s=0.13003351188899614)",181.518688,12.101246,51.900036
58834,105089,,12.099948,-3.131591,178.2531,17.0,6.37,0.115,G8III:,0.997,Vir,78.343,84,166.05829091964327,HD105089_TypG8_Mag6.37,"hms_tuple(h=12.0, m=6.0, s=18.397828826446414)","dms_tuple(d=-3.0, m=-9.0, s=-45.613658915845825)",181.576658,12.105111,-3.16267
58843,105113,,12.101446,-32.961231,51.6529,0.0,6.49,2.925,G0V,0.623,Hya,5.888,92,184.60428810635165,HD105113_TypG0_Mag6.49,"hms_tuple(h=12.0, m=6.0, s=27.330021557147575)","dms_tuple(d=-32.0, m=-59.0, s=-32.20610413206714)",181.613875,12.107592,-32.992279
