,hd,proper,ra,dec,dist,rv,mag,absmag,spect,ci,con,lum,exp,modexp,tgtfn,adjra_hms,adjdec_dms,adjra_deg,adjra_hour,adjdec_deg
58366,104248,,12.004848,-36.285368,235.8491,0.0,7.3,0.437,K1III,1.208,Cen,58.237,170,377.23764669214916,HD104248_TypK1_Mag7.3,"hms_tuple(h=12.0, m=0.0, s=40.482928076555424)","dms_tuple(d=-36.0, m=-18.0, s=-59.08318995297009)",180.168679,12.011245,-36.316412
58374,104268,,12.006463,-30.600528,169.4915,0.0,7.95,1.804,K0III,0.99,Hya,16.535,280,669.391162362906,HD104268_TypK0_Mag7.95,"hms_tuple(h=12.0, m=0.0, s=44.832817750673115)","dms_tuple(d=-30.0, m=-37.0, s=-53.686023397321776)",180.186803,12.012454,-30.631579
58392,104290,,12.01056,18.334706,204.0816,-8.9,7.84,1.291,K0,1.03,Com,26.522,257,607.4779541357369,HD104290_TypK0_Mag7.84,"hms_tuple(h=12.0, m=0.0, s=57.56161967537281)","dms_tuple(d=18.0, m=18.0, s=12.983036351397175)",180.23984,12.015989,18.303606
58398,104307,,12.011729,-21.837501,176.0563,4.0,6.28,0.052,K2III,1.22,Crv,83.023,78,153.3820888800899,HD104307_TypK2_Mag6.28,"hms_tuple(h=12.0, m=1.0, s=2.219990581946405)","dms_tuple(d=-21.0, m=-52.0, s=-6.824655190837632)",180.25925,12.017283,-21.868562
58400,104304,,12.012347,-10.446014,12.7632,0.1,5.54,5.01,K0IV,0.76,Vir,0.863,44,79.84059869753548,HD104304_TypK0_Mag5.54,"hms_tuple(h=12.0, m=1.0, s=3.320551232943245)","dms_tuple(d=-10.0, m=-28.0, s=-37.512104892203695)",180.263836,12.017589,-10.477087
58425,104358,,12.016866,-26.479761,150.1502,0.0,7.76,1.877,K0III,1.136,Hya,15.46,242,566.0781270342421,HD104358_TypK0_Mag7.76,"hms_tuple(h=12.0, m=1.0, s=21.45484264679439)","dms_tuple(d=-26.0, m=-30.0, s=-38.942351270692654)",180.339395,12.022626,-26.510817
58450,104414,,12.023136,-20.663829,354.6099,0.0,7.55,-0.199,K0III,1.069,Crv,104.616,206,470.3371004243402,HD104414_TypK0_Mag7.55,"hms_tuple(h=12.0, m=1.0, s=43.126273771931665)","dms_tuple(d=-20.0, m=-41.0, s=-41.60988641929123)",180.429693,12.028646,-20.694892
58455,104390,,12.023248,66.12297,641.0256,0.0,7.16,-1.874,K2,1.42,Dra,489.328,153,333.40358783117154,HD104390_TypK2_Mag7.16,"hms_tuple(h=12.0, m=2.0, s=9.481084103981914)","dms_tuple(d=66.0, m=5.0, s=30.37189804342688)",180.539505,12.035967,66.09177
58462,104407,,12.024351,6.506072,404.8583,0.0,7.86,-0.177,K2,1.238,Vir,102.518,261,618.2926139519136,HD104407_TypK2_Mag7.86,"hms_tuple(h=12.0, m=1.0, s=46.339452182565)","dms_tuple(d=6.0, m=28.0, s=29.94144758758253)",180.443081,12.029539,6.474984
58475,104435,,12.027191,70.849861,157.2327,3.1,7.24,1.257,K0,1.111,Dra,27.365,163,357.7868844682338,HD104435_TypK0_Mag7.24,"hms_tuple(h=12.0, m=2.0, s=34.3667589669262)","dms_tuple(d=70.0, m=49.0, s=7.06326497469604)",180.643195,12.04288,70.818629
58478,104438,,12.027635,36.042086,102.7749,30.0,5.59,0.531,K0III,1.019,UMa,53.407,46,83.4416007470692,HD104438_TypK0_Mag5.59,"hms_tuple(h=12.0, m=2.0, s=2.426564282935857)","dms_tuple(d=36.0, m=0.0, s=39.47665279957562)",180.510111,12.034007,36.010966
58524,104528,,12.039242,0.563681,251.2563,0.0,7.96,0.959,K2,1.52,Vir,36.008,282,675.323313533301,HD104528_TypK2_Mag7.96,"hms_tuple(h=12.0, m=2.0, s=39.82872410162017)","dms_tuple(d=0.0, m=31.0, s=57.35341743795594)",180.665953,12.044397,0.532598
58528,104542,,12.040703,-11.934177,523.5602,0.0,7.85,-0.745,K5,1.322,Crv,172.982,259,612.8614298360975,HD104542_TypK5_Mag7.85,"hms_tuple(h=12.0, m=2.0, s=45.49964880337811)","dms_tuple(d=-11.0, m=-57.0, s=-54.89383439751762)",180.689582,12.045972,-11.965248
58536,104579,,12.042363,-39.029087,800.0,0.0,7.7,-1.815,K4III,1.562,Cen,463.447,231,536.8905548349917,HD104579_TypK4_Mag7.7,"hms_tuple(h=12.0, m=2.0, s=56.40516672586131)","dms_tuple(d=-39.0, m=-3.0, s=-36.45722041311615)",180.735022,12.049001,-39.060127
58548,104590,,12.045037,24.446516,188.6792,-6.0,7.74,1.361,K2III,1.129,Com,24.866,238,556.1767595666211,HD104590_TypK2_Mag7.74,"hms_tuple(h=12.0, m=3.0, s=2.51238240528167)","dms_tuple(d=24.0, m=24.0, s=55.47590575699161)",180.760468,12.050698,24.41541
58565,104625,,12.047684,-7.683623,223.7136,-8.0,6.24,-0.508,K5,1.492,Vir,139.059,76,148.0633510554248,HD104625_TypK5_Mag6.24,"hms_tuple(h=12.0, m=3.0, s=10.388617278726002)","dms_tuple(d=-7.0, m=-42.0, s=-52.91379401344557)",180.793286,12.052886,-7.714698
58577,104641,,12.049986,-22.152366,393.7008,0.0,7.83,-0.146,K5III,1.62,Crv,99.632,255,602.141767772257,HD104641_TypK5_Mag7.83,"hms_tuple(h=12.0, m=3.0, s=19.989694325356027)","dms_tuple(d=-22.0, m=-11.0, s=-0.3374541414055443)",180.83329,12.055553,-22.183427
58581,104644,,12.050418,-31.691663,229.3578,0.0,7.41,0.607,K2/K3III,1.287,Hya,49.797,185,415.6851208955647,HD104644_TypK2_Mag7.41,"hms_tuple(h=12.0, m=3.0, s=23.320770856765876)","dms_tuple(d=-31.0, m=-43.0, s=-21.767136857922935)",180.84717,12.056478,-31.722713
58593,104677,,12.053668,-3.395423,151.0574,0.0,7.5,1.604,K2,1.15,Vir,19.879,198,450.03925321819855,HD104677_TypK2_Mag7.5,"hms_tuple(h=12.0, m=3.0, s=31.79475583774021)","dms_tuple(d=-3.0, m=-25.0, s=-35.40799121060161)",180.882478,12.058832,-3.426502
58617,104730,,12.059046,-32.257835,515.4639,0.0,7.74,-0.821,K1III,1.127,Hya,185.524,238,556.1767595666211,HD104730_TypK1_Mag7.74,"hms_tuple(h=12.0, m=3.0, s=54.516726405297504)","dms_tuple(d=-32.0, m=-17.0, s=-19.983755921286956)",180.977153,12.065144,-32.288884
58622,104725,,12.059885,69.019965,199.2032,0.0,7.0,0.504,K2,1.322,Dra,54.752,135,289.50893673230235,HD104725_TypK2_Mag7.0,"hms_tuple(h=12.0, m=4.0, s=27.340826715823)","dms_tuple(d=68.0, m=59.0, s=19.488574125850846)",181.11392,12.074261,68.988747
58631,104739,,12.062296,68.934936,286.533,0.0,7.96,0.674,K2,1.093,Dra,46.817,282,675.323313533301,HD104739_TypK2_Mag7.96,"hms_tuple(h=12.0, m=4.0, s=35.82128432910267)","dms_tuple(d=68.0, m=54.0, s=13.386333851489098)",181.149255,12.076617,68.903718
58646,104772,,12.064594,-34.808483,502.5126,0.0,7.91,-0.596,K3III,1.587,Hya,150.8,271,646.179090335777,HD104772_TypK3_Mag7.91,"hms_tuple(h=12.0, m=4.0, s=15.14772791382967)","dms_tuple(d=-34.0, m=-50.0, s=-22.30450955130152)",181.063116,12.070874,-34.839529
58652,104782,,12.06632,61.403608,211.8644,0.0,7.76,1.13,K0,1.021,UMa,30.761,242,566.0781270342421,HD104782_TypK0_Mag7.76,"hms_tuple(h=12.0, m=4.0, s=37.483346984026014)","dms_tuple(d=61.0, m=22.0, s=20.748279795801068)",181.156181,12.077079,61.37243
58655,104785,,12.066961,18.814555,990.099,-41.0,7.7,-2.278,K2,1.23,Com,709.905,231,536.8905548349917,HD104785_TypK2_Mag7.7,"hms_tuple(h=12.0, m=4.0, s=20.66020661591338)","dms_tuple(d=18.0, m=47.0, s=0.4376864113953616)",181.086084,12.072406,18.783455
58673,104819,,12.069704,-22.371044,116.9591,0.0,7.93,2.59,K2III,1.152,Crv,8.017,275,657.682729265769,HD104819_TypK2_Mag7.93,"hms_tuple(h=12.0, m=4.0, s=31.005876839067383)","dms_tuple(d=-22.0, m=-24.0, s=-7.57741682845591)",181.129191,12.075279,-22.402105
58705,104863,,12.076969,3.161722,260.4167,0.0,7.87,0.792,K2,1.406,Vir,41.995,263,623.771929275639,HD104863_TypK2_Mag7.87,"hms_tuple(h=12.0, m=4.0, s=55.67285760568822)","dms_tuple(d=3.0, m=7.0, s=50.29249091866756)",181.23197,12.082131,3.130637
58715,104862,,12.077923,35.567406,201.6129,0.0,7.4,0.877,K1III,1.055,UMa,38.833,184,412.0336743557815,HD104862_TypK1_Mag7.4,"hms_tuple(h=12.0, m=5.0, s=3.32683105233329)","dms_tuple(d=35.0, m=32.0, s=10.631016630104568)",181.263862,12.084257,35.536286
