,hd,proper,ra,dec,dist,rv,mag,absmag,spect,ci,con,lum,exp,modexp,tgtfn,adjra_hms,adjdec_dms,adjra_deg,adjra_hour,adjdec_deg
58343,104207,,12.001306,19.419373,263.8522,36.4,6.94,-0.167,M4III,1.57,Com,101.578,129,274.581557295345,HD104207_TypM4_Mag6.94,"hms_tuple(h=12.0, m=0.0, s=24.373928451642968)","dms_tuple(d=19.0, m=23.0, s=17.780266443972153)",180.101558,12.006771,19.388272
58369,104216,,12.005224,80.853186,280.112,32.0,6.21,-1.027,M2III,1.61,Cam,224.285,74,144.19568653254458,HD104216_TypM2_Mag6.21,"hms_tuple(h=12.0, m=2.0, s=15.146521221995641)","dms_tuple(d=80.0, m=49.0, s=18.410738612474233)",180.563111,12.037541,80.821781
58539,104575,,12.043075,8.06977,980.3922,0.0,7.59,-2.367,M...,1.603,Vir,770.549,212,487.2325692121131,HD104575_TypM._Mag7.59,"hms_tuple(h=12.0, m=2.0, s=53.810872379134906)","dms_tuple(d=8.0, m=2.0, s=19.249038353337085)",180.724212,12.048281,8.03868
58619,104710,,12.059218,29.679112,283.2861,-4.2,7.35,0.089,M3III,1.502,UMa,80.242,177,394.25196723909164,HD104710_TypM3_Mag7.35,"hms_tuple(h=12.0, m=3.0, s=54.53692712544694)","dms_tuple(d=29.0, m=38.0, s=52.79986133896102)",180.977237,12.065149,29.648
58690,104831,,12.071896,4.931787,694.4444,0.0,7.12,-2.088,M...,1.631,Vir,595.937,148,321.8423534887257,HD104831_TypM._Mag7.12,"hms_tuple(h=12.0, m=4.0, s=37.45040999551662)","dms_tuple(d=4.0, m=54.0, s=2.520659602853925)",181.156043,12.07707,4.9007
58770,104983,,12.086654,-34.208989,523.5602,0.0,7.46,-1.135,M2III,1.653,Hya,247.742,192,434.43351452893916,HD104983_TypM2_Mag7.46,"hms_tuple(h=12.0, m=5.0, s=34.40148239643008)","dms_tuple(d=-34.0, m=-14.0, s=-24.129005755154367)",181.39334,12.092889,-34.240036
58799,105029,,12.092469,68.759431,389.1051,12.2,7.7,-0.25,M0,1.513,Dra,109.648,231,536.8905548349917,HD105029_TypM0_Mag7.7,"hms_tuple(h=12.0, m=6.0, s=24.038204227304192)","dms_tuple(d=68.0, m=43.0, s=41.57273953807817)",181.600159,12.106677,68.728215
58805,105036,,12.093067,-5.845882,386.1004,-19.1,6.62,-1.314,M0,1.491,Vir,292.146,101,207.04024568445064,HD105036_TypM0_Mag6.62,"hms_tuple(h=12.0, m=5.0, s=53.69597050302772)","dms_tuple(d=-5.0, m=-52.0, s=-37.05230420035093)",181.473733,12.098249,-5.876959
58929,105266,,12.120806,-6.765573,271.0027,0.0,7.07,-0.095,M5IIIvar,1.42,Vir,95.06,143,307.9529390460096,HD105266_TypM5_Mag7.07,"hms_tuple(h=12.0, m=7.0, s=33.58965401420832)","dms_tuple(d=-6.0, m=-47.0, s=-47.93685221835375)",181.889957,12.125997,-6.796649
59065,105548,,12.153592,17.186095,862.069,35.8,7.22,-2.458,M1III,1.63,Com,837.915,160,351.52877406079745,HD105548_TypM1_Mag7.22,"hms_tuple(h=12.0, m=9.0, s=32.351945363105585)","dms_tuple(d=17.0, m=9.0, s=17.98758650245901)",182.3848,12.158987,17.154997
