,hd,proper,ra,dec,dist,rv,mag,absmag,spect,ci,con,lum,exp,modexp,tgtfn,adjra_hms,adjdec_dms,adjra_deg,adjra_hour,adjdec_deg
81058,149404,,16.606268,-42.858861,416.6667,-36.0,5.46,-2.639,O9Ia,0.338,Sco,989.92,42,74.39943501537284,HD149404_TypO9_Mag5.46,"hms_tuple(h=16.0, m=36.0, s=47.89258182214638)","dms_tuple(d=-42.0, m=-53.0, s=-23.621569848095874)",249.199552,16.613303,-42.889895
81129,149757,,16.619316,-10.56709,112.2334,-15.0,2.54,-2.711,O9.5V,0.038,Oph,1057.791,4,5.658394966392331,HD149757_TypO9_Mag2.54,"hms_tuple(h=16.0, m=37.0, s=28.41637081822654)","dms_tuple(d=-10.0, m=-35.0, s=-53.385294273101636)",249.368402,16.62456,-10.598163
81869,151003,,16.776165,-41.610699,100000.0,-19.0,7.07,-12.93,O9II,0.179,Sco,12941958.414,143,307.9529390460096,HD151003_TypO9_Mag7.07,"hms_tuple(h=16.0, m=46.0, s=59.02522201060748)","dms_tuple(d=-41.0, m=-38.0, s=-30.24584184172852)",251.745938,16.783063,-41.641735
82114,151515,,16.83007,-42.001716,100000.0,-9.0,7.16,-12.84,O7II...,0.123,Sco,11912420.08,153,333.40358783117154,HD151515_TypO7_Mag7.16,"hms_tuple(h=16.0, m=50.0, s=13.235401826761972)","dms_tuple(d=-42.0, m=-1.0, s=-57.904732721376604)",252.555148,16.83701,-42.032751
82126,151564,,16.833734,-41.621246,558.6592,-39.6,7.99,-0.746,O9.5IV,0.063,Sco,173.141,288,693.4370594020932,HD151564_TypO9_Mag7.99,"hms_tuple(h=16.0, m=50.0, s=26.277687312472153)","dms_tuple(d=-41.0, m=-39.0, s=-8.214979925978696)",252.60949,16.840633,-41.652282
82241,151804,,16.859367,-41.230534,100000.0,-65.0,5.23,-14.77,O9e,0.047,Sco,70469306.897,35,60.73498993870038,HD151804_TypO9_Mag5.23,"hms_tuple(h=16.0, m=51.0, s=58.40732843712516)","dms_tuple(d=-41.0, m=-15.0, s=-41.65406016408042)",252.993364,16.866224,-41.261571
82432,152246,,16.901472,-41.079475,100000.0,13.0,7.32,-12.68,O9:III:,0.135,Sco,10280162.981,173,383.9534407239423,HD152246_TypO9_Mag7.32,"hms_tuple(h=16.0, m=54.0, s=29.928444958190994)","dms_tuple(d=-41.0, m=-6.0, s=-37.84253445271531)",253.624702,16.908313,-41.110512
82438,152248,,16.902795,-41.82504,416.6667,-44.0,6.07,-2.029,O7e,0.126,Sco,564.417,66,127.44051305929695,HD152248_TypO7_Mag6.07,"hms_tuple(h=16.0, m=54.0, s=34.97626724732527)","dms_tuple(d=-41.0, m=-51.0, s=-21.87217956347581)",253.645734,16.909716,-41.856076
82514,152405,,16.915381,-40.52483,100000.0,-7.0,7.2,-12.8,O9.5Ib,0.087,Sco,11481536.215,158,345.3801253121633,HD152405_TypO9_Mag7.2,"hms_tuple(h=16.0, m=55.0, s=19.79566153796526)","dms_tuple(d=-40.0, m=-33.0, s=-21.123710463309635)",253.832482,16.922165,-40.555868
82522,152408,,16.916251,-41.150858,694.4444,-140.0,5.78,-3.428,O8Iab+...,0.132,Sco,2047.387,53,98.67024964581141,HD152408_TypO8_Mag5.78,"hms_tuple(h=16.0, m=55.0, s=23.159671209263877)","dms_tuple(d=-41.0, m=-10.0, s=-54.820921809908896)",253.846499,16.9231,-41.181895
