star_name,b_v,app_mag,parallax,spec_type
Alnitak (Zeta Ori),-0.21,1.74,3.95,O9.7Ib
Rigel (Beta Ori),-0.03,0.13,3.78,B8Ia
Sirius (Alpha CMa),0.01,-1.46,379.21,A1V
Canopus (Alpha Car),0.15,-0.74,10.43,F0II
Procyon (Alpha CMi),0.42,0.34,284.56,F5IV
Alpha Centauri A,0.71,0.01,742.12,G2V
Capella (Alpha Aur),0.8,0.08,76.2,G3III
Arcturus (Alpha Boo),1.23,-0.05,88.83,K1.5III
61 Cygni A,1.18,5.21,286.08,K5V
Betelgeuse (Alpha Ori),1.85,0.45,6.55,M1-M2Ia-ab
Barnard's Star,1.74,9.51,548.31,M4V
Sirius B,-0.03,8.44,379.21,DA2 (White Dwarf)
